wavelength,Intensity
1587.712,0.006
1586.74,0.006
1585.77,0.006
1584.801,0.006
1583.832,0.006
1582.866,0.006
1581.9,0.006
1580.935,0.006
1579.972,0.007
1579.01,0.007
1578.049,0.007
1577.089,0.007
1576.13,0.007
1575.173,0.007
1574.216,0.007
1573.261,0.007
1572.307,0.007
1571.354,0.007
1570.402,0.007
1569.452,0.007
1568.502,0.007
1567.554,0.007
1566.606,0.007
1565.661,0.007
1564.716,0.007
1563.772,0.007
1562.829,0.007
1561.888,0.007
1560.948,0.007
1560.008,0.007
1559.07,0.007
1558.133,0.007
1557.197,0.007
1556.263,0.007
1555.329,0.007
1554.397,0.007
1553.465,0.007
1552.535,0.008
1551.606,0.008
1550.678,0.008
1549.751,0.008
1548.826,0.008
1547.901,0.008
1546.977,0.008
1546.055,0.008
1545.133,0.008
1544.213,0.008
1543.294,0.008
1542.376,0.008
1541.459,0.009
1540.543,0.009
1539.628,0.009
1538.714,0.009
1537.802,0.009
1536.89,0.009
1535.98,0.009
1535.07,0.009
1534.162,0.009
1533.255,0.009
1532.349,0.009
1531.444,0.009
1530.539,0.009
1529.636,0.01
1528.735,0.01
1527.834,0.01
1526.934,0.01
1526.035,0.01
1525.138,0.01
1524.241,0.01
1523.345,0.01
1522.451,0.01
1521.558,0.01
1520.665,0.01
1519.774,0.01
1518.883,0.01
1517.994,0.01
1517.106,0.011
1516.219,0.011
1515.332,0.011
1514.448,0.011
1513.563,0.011
1512.68,0.011
1511.798,0.011
1510.917,0.011
1510.037,0.011
1509.158,0.011
1508.28,0.011
1507.403,0.011
1506.528,0.011
1505.653,0.011
1504.779,0.011
1503.906,0.011
1503.034,0.011
1502.163,0.011
1501.293,0.011
1500.425,0.011
1499.557,0.011
1498.69,0.011
1497.824,0.011
1496.96,0.011
1496.096,0.011
1495.233,0.011
1494.371,0.011
1493.51,0.011
1492.65,0.011
1491.792,0.011
1490.934,0.011
1490.077,0.011
1489.221,0.011
1488.366,0.011
1487.512,0.011
1486.659,0.01
1485.807,0.01
1484.956,0.01
1484.106,0.01
1483.257,0.01
1482.409,0.01
1481.562,0.01
1480.716,0.01
1479.871,0.01
1479.027,0.01
1478.183,0.01
1477.341,0.01
1476.5,0.01
1475.66,0.01
1474.82,0.01
1473.982,0.01
1473.144,0.01
1472.308,0.01
1471.472,0.01
1470.638,0.01
1469.804,0.01
1468.971,0.01
1468.139,0.01
1467.308,0.01
1466.478,0.01
1465.649,0.01
1464.821,0.01
1463.994,0.01
1463.168,0.01
1462.343,0.01
1461.519,0.01
1460.695,0.01
1459.873,0.01
1459.051,0.01
1458.231,0.01
1457.411,0.01
1456.592,0.01
1455.774,0.01
1454.957,0.01
1454.141,0.01
1453.326,0.01
1452.512,0.01
1451.699,0.01
1450.886,0.009
1450.075,0.009
1449.264,0.009
1448.455,0.009
1447.646,0.009
1446.838,0.009
1446.031,0.009
1445.225,0.009
1444.42,0.009
1443.616,0.009
1442.812,0.009
1442.01,0.009
1441.208,0.009
1440.408,0.009
1439.608,0.009
1438.809,0.009
1438.011,0.009
1437.214,0.009
1436.418,0.009
1435.622,0.009
1434.828,0.009
1434.034,0.008
1433.242,0.008
1432.45,0.008
1431.659,0.008
1430.869,0.008
1430.079,0.008
1429.291,0.008
1428.503,0.008
1427.717,0.008
1426.931,0.008
1426.146,0.008
1425.362,0.008
1424.579,0.008
1423.797,0.008
1423.015,0.007
1422.235,0.007
1421.455,0.007
1420.676,0.007
1419.898,0.007
1419.121,0.007
1418.345,0.007
1417.569,0.007
1416.794,0.007
1416.021,0.007
1415.248,0.006
1414.476,0.006
1413.705,0.006
1412.934,0.006
1412.164,0.006
1411.396,0.006
1410.628,0.006
1409.861,0.006
1409.095,0.005
1408.329,0.005
1407.565,0.005
1406.801,0.005
1406.038,0.005
1405.276,0.005
1404.515,0.004
1403.754,0.004
1402.995,0.004
1402.236,0.004
1401.478,0.004
1400.721,0.004
1399.964,0.004
1399.209,0.004
1398.454,0.004
1397.7,0.004
1396.947,0.004
1396.195,0.003
1395.443,0.003
1394.693,0.003
1393.943,0.003
1393.194,0.003
1392.446,0.003
1391.698,0.002
1390.952,0.003
1390.206,0.003
1389.461,0.003
1388.717,0.003
1387.973,0.002
1387.231,0.002
1386.489,0.002
1385.748,0.002
1385.007,0.002
1384.268,0.002
1383.529,0.002
1382.792,0.002
1382.054,0.001
1381.318,0.002
1380.583,0.001
1379.848,0.001
1379.114,0.002
1378.381,0.001
1377.648,0.002
1376.917,0.002
1376.186,0.001
1375.456,0.001
1374.726,0.001
1373.998,0.001
1373.27,0.001
1372.543,0.001
1371.817,0.001
1371.092,0.001
1370.367,0.001
1369.643,0.001
1368.92,0.001
1368.197,0.001
1367.476,0.001
1366.755,0.001
1366.035,0.001
1365.316,0.001
1364.597,0.001
1363.879,0.001
1363.162,0.001
1362.446,0.001
1361.73,0.001
1361.015,0.001
1360.301,0.001
1359.588,0.001
1358.875,0.001
1358.163,0.001
1357.452,0.001
1356.742,0.001
1356.032,0.001
1355.324,0.001
1354.616,0.001
1353.908,0.001
1353.202,0.001
1352.496,0.001
1351.791,0.001
1351.086,0.001
1350.382,0.001
1349.679,0.001
1348.977,0.001
1348.276,0.001
1347.575,0.001
1346.875,0.001
1346.175,0.001
1345.477,0.001
1344.779,0.001
1344.082,0
1343.386,0
1342.69,0
1341.995,0
1341.301,0
1340.607,0
1339.914,0
1339.222,0
1338.531,0
1337.84,0
1337.15,0
1336.461,0
1335.772,0
1335.084,0
1334.397,0
1333.711,0
1333.025,0
1332.34,0
1331.656,0
1330.972,0
1330.289,0
1329.607,0
1328.926,0
1328.245,0
1327.565,0
1326.885,0
1326.207,0
1325.529,0
1324.851,0
1324.175,0
1323.499,0
1322.824,0
1322.149,0
1321.475,0
1320.802,0
1320.129,0
1319.458,0
1318.786,0
1318.116,0
1317.446,0
1316.777,0
1316.109,0
1315.441,0
1314.774,0
1314.107,0
1313.442,0
1312.777,0
1312.112,0
1311.449,0
1310.786,0
1310.123,0
1309.462,0
1308.801,0
1308.14,0
1307.481,0
1306.822,0
1306.163,0
1305.506,0
1304.848,0
1304.192,0
1303.537,0
1302.882,0
1302.227,0
1301.573,0
1300.92,0
1300.268,0
1299.616,0
1298.965,0
1298.315,0
1297.665,0
1297.016,0
1296.367,0
1295.719,0
1295.072,0
1294.425,0
1293.78,0
1293.134,0
1292.49,0
1291.846,0
1291.202,0
1290.56,0
1289.917,0
1289.276,0
1288.635,0
1287.995,0
1287.356,0
1286.717,0
1286.079,0
1285.441,0
1284.804,0
1284.168,0
1283.532,0
1282.897,0
1282.262,0
1281.628,0
1280.995,0
1280.363,0
1279.731,0
1279.099,0
1278.469,0
1277.838,0
1277.209,0
1276.58,0
1275.952,0
1275.324,0
1274.697,0
1274.071,0
1273.445,0
1272.82,0
1272.195,0
1271.571,0
1270.948,0
1270.325,0
1269.703,0
1269.082,0
1268.461,0
1267.841,0
1267.221,0
1266.602,0
1265.984,0
1265.366,0
1264.748,0
1264.132,0
1263.516,0
1262.9,0
1262.285,0
1261.671,0
1261.057,0
